Layer ID,x0,xf,y0,yf
0,0,0.0399796,0.000635,0
1,0.001016,0.002413,0.0023749,0.0010541
2,0.003175,0.004572,0.0023749,0.0010541
3,0.005334,0.006731,0.0023749,0.0010541
4,0.007493,0.008889999,0.0023749,0.0010541
5,0.009652,0.011049,0.0023749,0.0010541
6,0.011811,0.013208,0.0023749,0.0010541
7,0.01397,0.015367,0.0023749,0.0010541
8,0.016129,0.017526,0.0023749,0.0010541
9,0.018288,0.019685,0.0023749,0.0010541
10,0.020447,0.021844,0.0023749,0.0010541
11,0.022606,0.024003,0.0023749,0.0010541
12,0.024765,0.026162,0.0023749,0.0010541
13,0.026924,0.028321,0.0023749,0.0010541
14,0.029083,0.03048,0.0023749,0.0010541
15,0.031242,0.032639,0.0023749,0.0010541
16,0.033401,0.034798,0.0023749,0.0010541
17,0.03556,0.036957,0.0023749,0.0010541
18,0.037719,0.039116,0.0023749,0.0010541
19,0.003175,0.006731,0.0023749,0.0019558
20,0.007493,0.011049,0.0023749,0.0019558
21,0.011811,0.015367,0.0023749,0.0019558
22,0.016129,0.019685,0.0023749,0.0019558
23,0.020447,0.024003,0.0023749,0.0019558
24,0.024765,0.028321,0.0023749,0.0019558
25,0.029083,0.032639,0.0023749,0.0019558
26,0.033401,0.036957,0.0023749,0.0019558
27,0.001016,0.004572,0.00277999,0.00236089
28,0.005334,0.00889,0.00277999,0.00236089
29,0.009652,0.013208,0.00277999,0.00236089
30,0.01397,0.017526,0.00277999,0.00236089
31,0.018288,0.021844,0.00277999,0.00236089
32,0.022606,0.026162,0.00277999,0.00236089
33,0.026924,0.03048,0.00277999,0.00236089
34,0.031242,0.034798,0.00277999,0.00236089
35,0.03556,0.039116,0.00277999,0.00236089
36,0,0.0399796,0.00341499,0.00277999
37,0,0.001016,0.00277999,0.000635
38,0.001016,0.001778,0.0023749,0.0006490101
39,0.002413,0.003175,0.00277999,0.0010541
40,0.00381,0.004572,0.0023749,0.0006490101
41,0.005207,0.005969,0.00277999,0.0010541
42,0.006604,0.007366,0.0023749,0.0006490101
43,0.008001001,0.008763,0.00277999,0.0010541
44,0.009398,0.01016,0.0023749,0.0006490101
45,0.010795,0.011557,0.00277999,0.0010541
46,0.012192,0.012954,0.0023749,0.0006490101
47,0.013589,0.014351,0.00277999,0.0010541
48,0.014986,0.015748,0.0023749,0.0006490101
49,0.016383,0.017145,0.00277999,0.0010541
50,0.01778,0.018542,0.0023749,0.0006490101
51,0.019177,0.019939,0.00277999,0.0010541
52,0.020574,0.021336,0.0023749,0.0006490101
53,0.021971,0.022733,0.00277999,0.0010541
54,0.023368,0.02413,0.0023749,0.0006490101
